               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,             0.04239,            0.015336,            0.025311,             0.63322,             0.48966,             0.55041,             0.30289,            0.035363,           0.0055319,            0.038683,           0.0089704,           0.0089704,           0.0089704
                  54,            0.042447,            0.015414,            0.024136,             0.60402,             0.51802,             0.55414,             0.31404,            0.037758,           0.0055359,            0.034729,           0.0089506,           0.0089506,           0.0089506
                  55,            0.042885,            0.015015,            0.024358,             0.64281,             0.46572,              0.5489,             0.30623,            0.042337,           0.0053485,            0.036987,           0.0089308,           0.0089308,           0.0089308
                  56,            0.041625,            0.015062,             0.02389,              0.5986,             0.49291,             0.55342,             0.30902,            0.037049,           0.0054001,            0.026713,            0.008911,            0.008911,            0.008911
                  57,            0.042382,            0.014963,            0.024236,             0.62297,             0.47184,             0.55462,             0.30211,            0.042702,           0.0059212,            0.033804,           0.0088912,           0.0088912,           0.0088912
                  58,             0.04195,            0.015192,            0.023737,             0.63178,             0.49249,             0.53987,             0.29549,            0.037765,           0.0054881,            0.030094,           0.0088714,           0.0088714,           0.0088714
                  59,            0.041812,            0.014769,             0.02243,             0.69072,             0.46579,             0.55816,             0.30135,            0.039182,           0.0055412,            0.033977,           0.0088516,           0.0088516,           0.0088516
                  60,            0.042159,            0.014857,            0.023444,             0.68163,             0.53116,             0.57765,             0.33931,            0.039396,           0.0053927,            0.027108,           0.0088318,           0.0088318,           0.0088318
                  61,            0.041523,            0.015093,            0.023434,             0.70643,             0.51946,             0.60305,             0.35309,            0.038223,           0.0056492,            0.033363,            0.008812,            0.008812,            0.008812
                  62,            0.041843,            0.014677,            0.022874,             0.67595,             0.49768,               0.567,             0.31369,            0.042028,           0.0053715,            0.030833,           0.0087922,           0.0087922,           0.0087922
                  63,            0.041212,            0.014951,            0.023211,             0.68581,             0.54904,             0.60729,             0.34216,            0.037952,           0.0056259,            0.022941,           0.0087724,           0.0087724,           0.0087724
                  64,            0.041357,            0.014622,            0.022291,             0.75034,             0.50065,             0.60479,             0.36029,            0.039228,           0.0053022,             0.02991,           0.0087526,           0.0087526,           0.0087526
                  65,            0.041689,             0.01487,            0.022489,             0.66345,              0.5253,             0.59429,             0.34098,            0.034528,           0.0053579,            0.027797,           0.0087328,           0.0087328,           0.0087328
                  66,            0.040764,            0.014908,            0.022044,             0.68367,             0.53355,             0.60086,              0.3331,            0.037648,           0.0051134,            0.026415,            0.008713,            0.008713,            0.008713
